,Date,MWh
0,2022-01-01,42486943
1,2021-01-01,42530597
2,2021-02-01,41254189
3,2021-03-01,43416334
4,2021-04-01,42432431
5,2021-05-01,40350555
6,2021-06-01,40179064
7,2021-07-01,39940841
8,2021-08-01,40628575
9,2021-09-01,41985319
10,2021-10-01,42622148
11,2021-11-01,41931837
12,2021-12-01,42936712
13,2020-01-01,41254099
14,2020-02-01,40887373
15,2020-03-01,41061524
16,2020-04-01,37183601
17,2020-05-01,36053401
18,2020-06-01,35695051
19,2020-07-01,37795673
20,2020-08-01,39164106
21,2020-09-01,40274320
22,2020-10-01,42843541
23,2020-11-01,41347429
24,2020-12-01,42080342
25,2019-01-01,41645752
26,2019-02-01,41162667
27,2019-03-01,41146450
28,2019-04-01,39722659
29,2019-05-01,40480004
30,2019-06-01,38436522
31,2019-07-01,38345407
32,2019-08-01,38641221
33,2019-09-01,39261838
34,2019-10-01,41067321
35,2019-11-01,41791952
36,2019-12-01,40801376
37,2018-01-01,40053884
38,2018-02-01,39168565
39,2018-03-01,41105111
40,2018-04-01,40691142
41,2018-05-01,39262384
42,2018-06-01,38202563
43,2018-07-01,38506959
44,2018-08-01,39045196
45,2018-09-01,39038579
46,2018-10-01,40393176
47,2018-11-01,40404793
48,2018-12-01,39871319
49,2017-01-01,39369163
50,2017-02-01,38836387
51,2017-03-01,40545594
52,2017-04-01,39430431
53,2017-05-01,38154686
54,2017-06-01,38114265
55,2017-07-01,37380263
56,2017-08-01,37865728
57,2017-09-01,39008926
58,2017-10-01,39336272
59,2017-11-01,39826888
60,2017-12-01,39606125
61,2016-01-01,38400901
62,2016-02-01,38727336
63,2016-03-01,39444914
64,2016-04-01,40269420
65,2016-05-01,38648672
66,2016-06-01,37550409
67,2016-07-01,37255240
68,2016-08-01,37693934
69,2016-09-01,38345059
70,2016-10-01,38197842
71,2016-11-01,38754249
72,2016-12-01,38780794
73,2015-01-01,40757967
74,2015-02-01,40719266
75,2015-03-01,39758964
76,2015-04-01,39596670
77,2015-05-01,38202362
78,2015-06-01,37263665
79,2015-07-01,36816443
80,2015-08-01,37858685
81,2015-09-01,37841649
82,2015-10-01,39276665
83,2015-11-01,39224855
84,2015-12-01,38669960
85,2014-01-01,40279759
86,2014-02-01,41653487
87,2014-03-01,40269429
88,2014-04-01,39591854
89,2014-05-01,39100499
90,2014-06-01,37726472
91,2014-07-01,37866809
92,2014-08-01,38550694
93,2014-09-01,38894976
94,2014-10-01,40100440
95,2014-11-01,40950726
96,2014-12-01,39838307
97,2013-01-01,38366809
98,2013-02-01,38005651
99,2013-03-01,38442191
100,2013-04-01,38653663
101,2013-05-01,38344861
102,2013-06-01,37627698
103,2013-07-01,37697945
104,2013-08-01,38613276
105,2013-09-01,38524724
106,2013-10-01,39389004
107,2013-11-01,39920289
108,2013-12-01,39556378
109,2012-01-01,36305167
110,2012-02-01,36900531
111,2012-03-01,38623110
112,2012-04-01,37995869
113,2012-05-01,36810191
114,2012-06-01,36528393
115,2012-07-01,35917147
116,2012-08-01,37179602
117,2012-09-01,37661696
118,2012-10-01,37796014
119,2012-11-01,38643584
120,2012-12-01,37765084
121,2011-01-01,35873744
122,2011-02-01,35444916
123,2011-03-01,36350690
124,2011-04-01,36048318
125,2011-05-01,35565987
126,2011-06-01,35159573
127,2011-07-01,35417292
128,2011-08-01,36335812
129,2011-09-01,36965189
130,2011-10-01,36743770
131,2011-11-01,36368389
132,2011-12-01,36741948
