,Date,USD/BRL
0,2011-01-03,1.647
1,2011-01-04,1.661
2,2011-01-05,1.6737
3,2011-01-06,1.6856
4,2011-01-07,1.6832
5,2011-01-10,1.6888
6,2011-01-11,1.6834
7,2011-01-12,1.6731
8,2011-01-13,1.6726
9,2011-01-14,1.6856
10,2011-01-17,1.6801
11,2011-01-18,1.6742
12,2011-01-19,1.6705
13,2011-01-20,1.6738
14,2011-01-21,1.6764
15,2011-01-24,1.6713
16,2011-01-25,1.6717
17,2011-01-26,1.6678
18,2011-01-27,1.6762
19,2011-01-28,1.6823
20,2011-01-31,1.6675
21,2011-02-01,1.6648
22,2011-02-02,1.6681
23,2011-02-03,1.6683
24,2011-02-04,1.6735
25,2011-02-07,1.6789
26,2011-02-08,1.665
27,2011-02-09,1.6596
28,2011-02-10,1.6686
29,2011-02-11,1.6656
30,2011-02-14,1.667
31,2011-02-15,1.669
32,2011-02-16,1.6705
33,2011-02-17,1.6615
34,2011-02-18,1.6628
35,2011-02-21,1.6684
36,2011-02-22,1.6721
37,2011-02-23,1.6745
38,2011-02-24,1.664
39,2011-02-25,1.6632
40,2011-02-28,1.6638
41,2011-03-01,1.6633
42,2011-03-02,1.6575
43,2011-03-03,1.6489
44,2011-03-04,1.6555
45,2011-03-07,1.6526
46,2011-03-08,1.654
47,2011-03-09,1.6538
48,2011-03-10,1.6623
49,2011-03-11,1.665
50,2011-03-14,1.6593
51,2011-03-15,1.6655
52,2011-03-16,1.6757
53,2011-03-17,1.6782
54,2011-03-18,1.6655
55,2011-03-21,1.6669
56,2011-03-22,1.6595
57,2011-03-23,1.6611
58,2011-03-24,1.6593
59,2011-03-25,1.6615
60,2011-03-28,1.6629
61,2011-03-29,1.646
62,2011-03-30,1.6284
63,2011-03-31,1.632
64,2011-04-01,1.6275
65,2011-04-04,1.6072
66,2011-04-05,1.6082
67,2011-04-06,1.6149
68,2011-04-07,1.586
69,2011-04-08,1.5689
70,2011-04-11,1.5829
71,2011-04-12,1.596
72,2011-04-13,1.5862
73,2011-04-14,1.5778
74,2011-04-15,1.5758
75,2011-04-18,1.5882
76,2011-04-19,1.5755
77,2011-04-20,1.5664
78,2011-04-21,1.564
79,2011-04-22,1.564
80,2011-04-25,1.5685
81,2011-04-26,1.5619
82,2011-04-27,1.5669
83,2011-04-28,1.5817
84,2011-04-29,1.5775
85,2011-05-02,1.5888
86,2011-05-03,1.5883
87,2011-05-04,1.6158
88,2011-05-05,1.6215
89,2011-05-06,1.6153
90,2011-05-09,1.6134
91,2011-05-10,1.6037
92,2011-05-11,1.6209
93,2011-05-12,1.6196
94,2011-05-13,1.6361
95,2011-05-16,1.6346
96,2011-05-17,1.6159
97,2011-05-18,1.6093
98,2011-05-19,1.6165
99,2011-05-20,1.6225
100,2011-05-23,1.6335
101,2011-05-24,1.624
102,2011-05-25,1.6289
103,2011-05-26,1.6158
104,2011-05-27,1.5945
105,2011-05-30,1.5885
106,2011-05-31,1.58
107,2011-06-01,1.5933
108,2011-06-02,1.5754
109,2011-06-03,1.576
110,2011-06-06,1.5841
111,2011-06-07,1.5808
112,2011-06-08,1.5812
113,2011-06-09,1.5829
114,2011-06-10,1.5963
115,2011-06-13,1.5832
116,2011-06-14,1.5828
117,2011-06-15,1.6002
118,2011-06-16,1.6024
119,2011-06-17,1.598
120,2011-06-20,1.5962
121,2011-06-21,1.5865
122,2011-06-22,1.5914
123,2011-06-23,1.5913
124,2011-06-24,1.6044
125,2011-06-27,1.594
126,2011-06-28,1.5762
127,2011-06-29,1.5674
128,2011-06-30,1.5622
129,2011-07-01,1.5573
130,2011-07-04,1.5527
131,2011-07-05,1.5653
132,2011-07-06,1.5692
133,2011-07-07,1.5553
134,2011-07-08,1.5654
135,2011-07-11,1.5803
136,2011-07-12,1.5795
137,2011-07-13,1.5719
138,2011-07-14,1.577
139,2011-07-15,1.5746
140,2011-07-18,1.5771
141,2011-07-19,1.5663
142,2011-07-20,1.5654
143,2011-07-21,1.5527
144,2011-07-22,1.5522
145,2011-07-25,1.5402
146,2011-07-26,1.5383
147,2011-07-27,1.5553
148,2011-07-28,1.567
149,2011-07-29,1.549
150,2011-08-01,1.5666
151,2011-08-02,1.566
152,2011-08-03,1.5621
153,2011-08-04,1.5873
154,2011-08-05,1.5759
155,2011-08-08,1.6265
156,2011-08-09,1.5894
157,2011-08-10,1.6235
158,2011-08-11,1.6272
159,2011-08-12,1.611
160,2011-08-15,1.5882
161,2011-08-16,1.5899
162,2011-08-17,1.5888
163,2011-08-18,1.5989
164,2011-08-19,1.5998
165,2011-08-22,1.6073
166,2011-08-23,1.5968
167,2011-08-24,1.6137
168,2011-08-25,1.6096
169,2011-08-26,1.6031
170,2011-08-29,1.5912
171,2011-08-30,1.5963
172,2011-08-31,1.5892
173,2011-09-01,1.62
174,2011-09-02,1.6415
175,2011-09-05,1.6454
176,2011-09-06,1.6553
177,2011-09-07,1.654
178,2011-09-08,1.6595
179,2011-09-09,1.6729
180,2011-09-12,1.7037
181,2011-09-13,1.71
182,2011-09-14,1.714
183,2011-09-15,1.705
184,2011-09-16,1.7327
185,2011-09-19,1.7997
186,2011-09-20,1.7856
187,2011-09-21,1.8838
188,2011-09-22,1.9033
189,2011-09-23,1.8333
190,2011-09-26,1.8225
191,2011-09-27,1.8042
192,2011-09-28,1.8372
193,2011-09-29,1.8425
194,2011-09-30,1.879
195,2011-10-03,1.893
196,2011-10-04,1.8575
197,2011-10-05,1.8317
198,2011-10-06,1.7805
199,2011-10-07,1.7717
200,2011-10-10,1.7624
201,2011-10-11,1.775
202,2011-10-12,1.775
203,2011-10-13,1.7508
204,2011-10-14,1.7319
205,2011-10-17,1.7736
206,2011-10-18,1.7524
207,2011-10-19,1.7731
208,2011-10-20,1.7812
209,2011-10-21,1.7748
210,2011-10-24,1.7508
211,2011-10-25,1.766
212,2011-10-26,1.7584
213,2011-10-27,1.7095
214,2011-10-28,1.6725
215,2011-10-31,1.7172
216,2011-11-01,1.745
217,2011-11-02,1.736
218,2011-11-03,1.7367
219,2011-11-04,1.7525
220,2011-11-07,1.7464
221,2011-11-08,1.7323
222,2011-11-09,1.7795
223,2011-11-10,1.7614
224,2011-11-11,1.7424
225,2011-11-14,1.7671
226,2011-11-15,1.7721
227,2011-11-16,1.7697
228,2011-11-17,1.7785
229,2011-11-18,1.786
230,2011-11-21,1.8081
231,2011-11-22,1.8184
232,2011-11-23,1.8672
233,2011-11-24,1.8981
234,2011-11-25,1.892
235,2011-11-28,1.8542
236,2011-11-29,1.845
237,2011-11-30,1.8083
238,2011-12-01,1.8
239,2011-12-02,1.7912
240,2011-12-05,1.7857
241,2011-12-06,1.7915
242,2011-12-07,1.7992
243,2011-12-08,1.822
244,2011-12-09,1.7979
245,2011-12-12,1.8439
246,2011-12-13,1.8647
247,2011-12-14,1.8798
248,2011-12-15,1.8602
249,2011-12-16,1.852
250,2011-12-19,1.8687
251,2011-12-20,1.845
252,2011-12-21,1.8607
253,2011-12-22,1.8562
254,2011-12-23,1.8567
255,2011-12-26,1.8558
256,2011-12-27,1.8613
257,2011-12-28,1.874
258,2011-12-29,1.8657
259,2011-12-30,1.8632
260,2012-01-02,1.8708
261,2012-01-03,1.8304
262,2012-01-04,1.8323
263,2012-01-05,1.8437
264,2012-01-06,1.8579
265,2012-01-09,1.8329
266,2012-01-10,1.7995
267,2012-01-11,1.803
268,2012-01-12,1.778
269,2012-01-13,1.7849
270,2012-01-16,1.7859
271,2012-01-17,1.788
272,2012-01-18,1.7649
273,2012-01-19,1.7655
274,2012-01-20,1.7548
275,2012-01-23,1.7552
276,2012-01-24,1.7585
277,2012-01-25,1.7605
278,2012-01-26,1.7505
279,2012-01-27,1.7374
280,2012-01-30,1.75
281,2012-01-31,1.7472
282,2012-02-01,1.7342
283,2012-02-02,1.7195
284,2012-02-03,1.7161
285,2012-02-06,1.7266
286,2012-02-07,1.726
287,2012-02-08,1.7214
288,2012-02-09,1.7163
289,2012-02-10,1.7208
290,2012-02-13,1.7165
291,2012-02-14,1.7211
292,2012-02-15,1.7289
293,2012-02-16,1.7165
294,2012-02-17,1.715
295,2012-02-20,1.7178
296,2012-02-21,1.7175
297,2012-02-22,1.7064
298,2012-02-23,1.7137
299,2012-02-24,1.7094
300,2012-02-27,1.7077
301,2012-02-28,1.695
302,2012-02-29,1.7174
303,2012-03-01,1.7138
304,2012-03-02,1.7311
305,2012-03-05,1.7394
306,2012-03-06,1.7584
307,2012-03-07,1.7665
308,2012-03-08,1.7612
309,2012-03-09,1.7914
310,2012-03-12,1.7995
311,2012-03-13,1.7926
312,2012-03-14,1.8054
313,2012-03-15,1.7991
314,2012-03-16,1.8003
315,2012-03-19,1.8215
316,2012-03-20,1.8144
317,2012-03-21,1.8226
318,2012-03-22,1.8199
319,2012-03-23,1.8106
320,2012-03-26,1.8175
321,2012-03-27,1.8219
322,2012-03-28,1.823
323,2012-03-29,1.8224
324,2012-03-30,1.8264
325,2012-04-02,1.8329
326,2012-04-03,1.8255
327,2012-04-04,1.8263
328,2012-04-05,1.8214
329,2012-04-06,1.8214
330,2012-04-09,1.8173
331,2012-04-10,1.8337
332,2012-04-11,1.8358
333,2012-04-12,1.8272
334,2012-04-13,1.8372
335,2012-04-16,1.8478
336,2012-04-17,1.8612
337,2012-04-18,1.879
338,2012-04-19,1.8806
339,2012-04-20,1.8724
340,2012-04-23,1.8802
341,2012-04-24,1.8821
342,2012-04-25,1.8788
343,2012-04-26,1.8855
344,2012-04-27,1.8861
345,2012-04-30,1.9088
346,2012-05-01,1.9047
347,2012-05-02,1.9243
348,2012-05-03,1.9085
349,2012-05-04,1.9275
350,2012-05-07,1.9194
351,2012-05-08,1.9397
352,2012-05-09,1.9715
353,2012-05-10,1.9529
354,2012-05-11,1.966
355,2012-05-14,1.9951
356,2012-05-15,2.0017
357,2012-05-16,2.0005
358,2012-05-17,2.0092
359,2012-05-18,2.0237
360,2012-05-21,2.0417
361,2012-05-22,2.0907
362,2012-05-23,2.0309
363,2012-05-24,2.0282
364,2012-05-25,1.9846
365,2012-05-28,1.9832
366,2012-05-29,1.9895
367,2012-05-30,2.016
368,2012-05-31,2.0226
369,2012-06-01,2.04
370,2012-06-04,2.056
371,2012-06-05,2.0248
372,2012-06-06,2.0328
373,2012-06-07,2.0328
374,2012-06-08,2.0213
375,2012-06-11,2.0652
376,2012-06-12,2.0684
377,2012-06-13,2.0719
378,2012-06-14,2.0569
379,2012-06-15,2.0484
380,2012-06-18,2.0641
381,2012-06-19,2.0279
382,2012-06-20,2.0256
383,2012-06-21,2.0631
384,2012-06-22,2.0675
385,2012-06-25,2.0613
386,2012-06-26,2.0724
387,2012-06-27,2.0764
388,2012-06-28,2.0765
389,2012-06-29,2.0095
390,2012-07-02,1.9849
